image_name,prediction,true_label,confidence,timestamp
20260730_183909_62df31fe.png,9,6,0.982124,2026-07-30T18:39:09
20260730_185523_edc9d3e6.png,656,666,0.856332,2026-07-30T18:55:23
20260730_214230_c2a5d77b.png,7,4,0.489882,2026-07-30T21:42:30
20260730_220255_e5f1b64c.png,1,6,0.998828,2026-07-30T22:02:55
20260730_220751_f95d5872.png,3,3,0.833960,2026-07-30T22:07:51
20260730_220859_502b28ec.png,6,6,0.550181,2026-07-30T22:08:59
20260730_220945_084c11a9.png,4,4,0.943397,2026-07-30T22:09:45
20260730_220953_8e8e0361.png,4,9,0.943397,2026-07-30T22:09:53
20260730_221015_26969421.png,5,9,0.451876,2026-07-30T22:10:15
20260730_221027_da191a08.png,4,4,0.631877,2026-07-30T22:10:27
20260730_221035_5edeaedb.png,4,9,0.631877,2026-07-30T22:10:35
20260730_221521_e5e7f3ac.png,4,9,0.815930,2026-07-30T22:15:21
20260730_221836_e83e860a.png,9,9,0.862870,2026-07-30T22:18:36
20260813_060146_c5058fd2.png,9,4,0.425032,2026-08-13T06:01:46
20260813_062558_62a4839c.png,2,7,0.723872,2026-08-13T06:25:58
20260813_070043_fc7f28d7.png,2,7,0.854088,2026-08-13T07:00:43
